epoch,loss,masked_binary_accuracy,masked_f1,masked_iou,masked_precision,masked_recall,val_loss,val_masked_binary_accuracy,val_masked_f1,val_masked_iou,val_masked_precision,val_masked_recall
0,4.288514614105225,0.7179259061813354,0.0071673099882900715,0.0036286497488617897,0.0043669892475008965,0.2818026840686798,0.2769048810005188,0.9734699726104736,0.00010698090773075819,5.355240864446387e-05,0.0005797026096843183,6.469478830695152e-05
1,0.22618551552295685,0.985058069229126,0.00012049831275362521,6.059507722966373e-05,0.00013903445506002754,0.00016090554709080607,0.22550591826438904,0.976941704750061,0.0,0.0,0.0,0.0
2,0.19562174379825592,0.9871294498443604,0.00011301786435069516,5.6843629863578826e-05,0.0001238605909748003,0.0001675933162914589,0.21905802190303802,0.9774847626686096,0.0,0.0,0.0,0.0
3,0.1854528784751892,0.9878737926483154,0.00010524973185965791,5.287430030875839e-05,0.0001298256393056363,0.000132987363031134,0.210431769490242,0.9780831933021545,0.0,0.0,0.0,0.0
4,0.17905405163764954,0.9883937239646912,0.00011195676779607311,5.6327258789679036e-05,0.00012618636537808925,0.0001290440995944664,0.2104043960571289,0.9780848622322083,0.0,0.0,0.0,0.0
5,0.17810127139091492,0.9884486198425293,8.948296454036608e-05,4.494909808272496e-05,0.00013383099576458335,0.00010991402814397588,0.21037736535072327,0.9780858755111694,0.0,0.0,0.0,0.0
6,0.17658814787864685,0.9885549545288086,5.125001916894689e-05,2.572904122644104e-05,0.00010178564116358757,6.432125519495457e-05,0.210308238863945,0.978089451789856,0.0,0.0,0.0,0.0
7,0.16961482167243958,0.989013135433197,0.0,0.0,0.0,0.0,0.21029627323150635,0.978089451789856,0.0,0.0,0.0,0.0
8,0.1690455973148346,0.9890488386154175,0.0,0.0,0.0,0.0,0.21028634905815125,0.978089451789856,0.0,0.0,0.0,0.0
9,0.16999179124832153,0.9889853596687317,0.0,0.0,0.0,0.0,0.21027809381484985,0.978089451789856,0.0,0.0,0.0,0.0
10,0.16906864941120148,0.9890448451042175,0.0,0.0,0.0,0.0,0.21027126908302307,0.978089451789856,0.0,0.0,0.0,0.0
11,0.1697806864976883,0.9889973402023315,0.0,0.0,0.0,0.0,0.21026577055454254,0.978089451789856,0.0,0.0,0.0,0.0
12,0.16975435614585876,0.9889981746673584,0.0,0.0,0.0,0.0,0.21026131510734558,0.978089451789856,0.0,0.0,0.0,0.0
13,0.16881625354290009,0.989058256149292,0.0,0.0,0.0,0.0,0.21025779843330383,0.978089451789856,0.0,0.0,0.0,0.0
14,0.16961714625358582,0.9889969825744629,0.0,0.0,0.0,0.0,0.21025490760803223,0.978089451789856,0.0,0.0,0.0,0.0
